,text,intent,fromloc.city_name,depart_time.time,toloc.city_name,arrive_time.time,arrive_time.period_of_day,depart_date.day_name,depart_time.period_of_day,flight_time,cost_relative,round_trip,fare_amount,depart_date.today_relative,city_name,stoploc.city_name,toloc.airport_code,depart_time.time_relative,class_type,depart_date.date_relative,airline_name,arrive_time.time_relative,depart_time.start_time,depart_time.end_time,fromloc.airport_name,toloc.state_name,depart_date.day_number,depart_date.month_name,mod,fare_basis_code,transport_type,flight_mod,arrive_date.month_name,arrive_date.day_number,meal,toloc.state_code,meal_description,return_date.month_name,return_date.day_number,airline_code,depart_time.period_mod,flight_stop,fromloc.airport_code,arrive_date.day_name,time,or,economy,flight_number,arrive_time.period_mod,flight_days,toloc.airport_name,state_code,arrive_time.start_time,arrive_time.end_time,fromloc.state_name,arrive_date.date_relative,depart_date.year,return_date.date_relative,airport_code,aircraft_code,fromloc.state_code,connect,restriction_code,airport_name,toloc.country_name,days_code,day_name,period_of_day,today_relative,stoploc.state_code,meal_code,state_name,stoploc.airport_name,arrive_date.today_relative,time_relative,return_time.period_of_day,return_time.period_mod,month_name,day_number,return_date.today_relative,return_date.day_name
762,airlines that fly to miami from new york on friday,airline,new york,,miami,,,friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
763,what flights leave seattle on sunday on continental after 9 pm,flight,seattle,9 pm,,,,sunday,,,,,,,,,,after,,,continental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
764,what is the earliest flight from washington to san francisco on friday that serves breakfast,flight,washington,,san francisco,,,friday,,,,,,,,,,,,,,,,,,,,,,,,earliest,,,,,breakfast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765,what do you have going from atlanta to philadelphia serving breakfast,flight,atlanta,,philadelphia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,breakfast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
766,i 'd like to see flights from pittsburgh to atlanta,flight,pittsburgh,,atlanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
767,what flights are available with q fares from boston to pittsburgh,flight,boston,,pittsburgh,,,,,,,,,,,,,,,,,,,,,,,,,q fares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
768,is there ground transportation from the milwaukee airport to the downtown area,ground_service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,milwaukee airport,,,,,,,,,,,,,,,,,
769,flights from pittsburgh to newark,flight,pittsburgh,,newark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
770,i want to go between boston and san francisco,flight,boston,,san francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
771,show departures from atlanta for american,flight,atlanta,,,,,,,,,,,,,,,,,,american,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
772,show me the flights available from dallas to baltimore august third,flight,dallas,,baltimore,,,,,,,,,,,,,,,,,,,,,,third,august,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
773,show me fares from philadelphia to san francisco on thursday morning,airfare,philadelphia,,san francisco,,,thursday,morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
774,please list the flight times from pittsburgh to newark,flight_time,pittsburgh,,newark,,,,,flight times,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
775,how far is downtown from the airport in dallas,distance,dallas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
776,what flights from any city land at general mitchell international,flight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,general mitchell international,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
777,show me ground transportation information for san francisco,ground_service,,,,,,,,,,,,,san francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
778,could you find me the cheapest fare from boston to san francisco,airfare,boston,,san francisco,,,,,,cheapest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
779,please list information regarding san francisco airport,airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,san francisco airport,,,,,,,,,,,,,,,,,
780,show me flights between milwaukee and phoenix on saturday or sunday american airlines,flight,milwaukee,,phoenix,,,sunday,,,,,,,,,,,,,american airlines,,,,,,,,,,,,,,,,,,,,,,,,,or,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
781,i 'd like a first class flight from denver to baltimore on january first,flight,denver,,baltimore,,,,,,,,,,,,,,first class,,,,,,,,first,january,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
782,what 's the name of the denver airport,airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,denver airport,,,,,,,,,,,,,,,,,
783,list all the takeoffs and landings at general mitchell airport,flight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,general mitchell airport,,,,,,,,,,,,,,,,,
784,show me the flights arriving around noon in baltimore from denver,flight,denver,,baltimore,noon,,,,,,,,,,,,,,,,around,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
785,on tuesday i 'd like to find a flight from detroit to st. petersburg that arrives before 10 pm,flight,detroit,,st. petersburg,10 pm,,tuesday,,,,,,,,,,,,,,before,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786,i 'd like a flight tomorrow from kansas city to newark in the morning,flight,kansas city,,newark,,,,morning,,,,,tomorrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
787,list the flights from philadelphia to san francisco which have a layover in dallas,flight,philadelphia,,san francisco,,,,,,,,,,,dallas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
788,now i need a flight leaving fort worth and arriving in denver no later than 2 pm next monday,flight,fort worth,,denver,2 pm,,,,,,,,,,,,,,,,no later than,,,,,,,,,,,,,,,,,,,,,,monday,,,,,,,,,,,,next,,,,,,,,,,,,,,,,,,,,,,,,,
789,flights from san jose to st. paul,flight,san jose,,st. paul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
790,i want information on flights from atlanta to washington dc give me information on flights after 4 pm on wednesday,flight,atlanta,4 pm,washington,,,wednesday,,,,,,,,,,after,,,,,,,,,,,,,,,,,,dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
791,show ground transportation for pittsburgh,ground_service,,,,,,,,,,,,,pittsburgh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
792,what is the earliest flight in the morning from boston to pittsburgh,flight,boston,,pittsburgh,,,,morning,,,,,,,,,,,,,,,,,,,,,,,earliest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
793,morning flight from atlanta to philadelphia,flight,atlanta,,philadelphia,,,,morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
794,what are the cheapest flights from pittsburgh to atlanta,flight,pittsburgh,,atlanta,,,,,,cheapest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
795,show morning flights from san francisco to pittsburgh,flight,san francisco,,pittsburgh,,,,morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
796,what are the first class and coach fares for flights from chicago to kansas city arriving around 7 pm next thursday,airfare,chicago,,kansas city,7 pm,,,,,,,,,,,,,coach,,,around,,,,,,,,,,,,,,,,,,,,,,thursday,,,,,,,,,,,,next,,,,,,,,,,,,,,,,,,,,,,,,,
797,show me all flights from dallas to pittsburgh on monday which leave after 8 o'clock pm,flight,dallas,8 o'clock pm,pittsburgh,,,monday,,,,,,,,,,after,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
798,find me the cheapest one way fare i can get from boston to denver,airfare,boston,,denver,,,,,,cheapest,one way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
799,show me the flights from atlanta to denver on friday,flight,atlanta,,denver,,,friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,what 's the cheapest flight from san francisco to boston,flight,san francisco,,boston,,,,,,cheapest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,please list the flight times from boston to pittsburgh,flight_time,boston,,pittsburgh,,,,,flight times,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
802,is there a flight between washington dc and san francisco on us air at 8 am,flight,washington,8 am,san francisco,,,,,,,,,,,,,,,,us air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dc,,,,,,,,,,,,,,,,,,,,
803,show me all flights from pittsburgh which leave tomorrow and arrive in boston,flight,pittsburgh,,boston,,,,,,,,,tomorrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804,how many seats in a 72s,capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72s,,,,,,,,,,,,,,,,,,,,,
805,what does fn under fare code mean,abbreviation,,,,,,,,,,,,,,,,,,,,,,,,,,,,fn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
806,all am flights departing pittsburgh arriving denver,flight,pittsburgh,,denver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
807,what flights leave after 7 pm from pittsburgh to philadelphia,flight,pittsburgh,7 pm,philadelphia,,,,,,,,,,,,,after,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
808,show flights from philadelphia to san francisco,flight,philadelphia,,san francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
809,what flights leave chicago and arrive in detroit around 6 pm next tuesday,flight,chicago,,detroit,6 pm,,,,,,,,,,,,,,,,around,,,,,,,,,,,,,,,,,,,,,,tuesday,,,,,,,,,,,,next,,,,,,,,,,,,,,,,,,,,,,,,,
810,what does it cost to fly from boston to oakland on united airlines,airfare,boston,,oakland,,,,,,,,,,,,,,,,united airlines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811,how much is a flight from washington to montreal,airfare,washington,,montreal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812,is there limousine service available at baltimore airport,ground_service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,limousine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baltimore airport,,,,,,,,,,,,,,,,,
813,what are the morning flights in the next two days from nashville to tacoma,flight,nashville,,tacoma,,,,morning,,,,,,,,,,,next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
814,what is the last flight leaving san francisco going to washington on friday,flight,san francisco,,washington,,,friday,,,,,,,,,,,,,,,,,,,,,,,,last,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
815,what are the flights from dallas to san francisco on tuesday october first,flight,dallas,,san francisco,,,tuesday,,,,,,,,,,,,,,,,,,,first,october,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
816,does united airlines fly from boston to dallas fort worth,flight,boston,,dallas fort worth,,,,,,,,,,,,,,,,united airlines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
817,please list the flight schedule from baltimore to san francisco on friday nights,flight_time,baltimore,,san francisco,,,friday,nights,flight schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,flights from cleveland to kansas city on monday,flight,cleveland,,kansas city,,,monday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
819,i would like to find a flight that goes from boston to orlando i would like it to have a stop in new york and i would like a flight that serves breakfast,flight,boston,,orlando,,,,,,,,,,,new york,,,,,,,,,,,,,,,,,,,,,breakfast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820,what are the lowest one way fares from atlanta to pittsburgh,airfare,atlanta,,pittsburgh,,,,,,lowest,one way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
821,okay and then from pittsburgh i 'd like to travel to atlanta on september fourth,flight,pittsburgh,,atlanta,,,,,,,,,,,,,,,,,,,,,,fourth,september,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
822,what flights go from pittsburgh to baltimore after 8 o'clock next wednesday,flight,pittsburgh,8 o'clock,baltimore,,,wednesday,,,,,,,,,,after,,next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
823,how much does it cost to get downtown from the atlanta airport by limousine,ground_fare,,,,,,,,,,,,,,,,,,,,,,,atlanta airport,,,,,,limousine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
824,i would like to fly from boston to san francisco,flight,boston,,san francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
825,show me the airfare from pittsburgh to san francisco,airfare,pittsburgh,,san francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
826,are there any flights on june eleventh from st. petersburg to milwaukee,flight,st. petersburg,,milwaukee,,,,,,,,,,,,,,,,,,,,,,eleventh,june,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
827,what is hp,abbreviation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
828,show me the type of aircraft that cp uses,aircraft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,show me flights from pittsburgh to san francisco on sunday,flight,pittsburgh,,san francisco,,,sunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
830,what type of aircraft does eastern fly from atlanta to denver before 6 pm,aircraft,atlanta,6 pm,denver,,,,,,,,,,,,,before,,,eastern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
831,can you list all flights from chicago to milwaukee,flight,chicago,,milwaukee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
832,display all flights from denver to san francisco on august seven,flight,denver,,san francisco,,,,,,,,,,,,,,,,,,,,,,seven,august,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
833,what are the most expensive first class tickets between boston and san francisco,airfare,boston,,san francisco,,,,,,most expensive,,,,,,,,first class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
834,which of the flights from pittsburgh to baltimore on july twenty fifth 1991 carries the smallest number of passengers,flight,pittsburgh,,baltimore,,,,,,,,,,,,,,,,,,,,,,twenty fifth,july,smallest,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991,,,,,,,,,,,,,,,,,,,,,,,,
835,show me all the flights to baltimore after 6 o'clock pm,flight,,6 o'clock pm,baltimore,,,,,,,,,,,,,after,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
836,what airlines go from atlanta to baltimore,airline,atlanta,,baltimore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
837,what does fare code qo mean,abbreviation,,,,,,,,,,,,,,,,,,,,,,,,,,,,qo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
838,show me flights from baltimore to dallas,flight,baltimore,,dallas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
839,what does the abbreviation co mean,abbreviation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,co,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
840,can you list all flights between milwaukee and chicago,flight,milwaukee,,chicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
841,what are the air restrictions on flights from pittsburgh to atlanta for the airfare of 416 dollars,restriction,pittsburgh,,atlanta,,,,,,,,416 dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
842,last nonstop flight from los angeles to pittsburgh on monday night,flight,los angeles,,pittsburgh,,night,,,,,,,,,,,,,,,,,,,,,,,,,last,,,,,,,,,,nonstop,,monday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
843,what is the earliest flight from boston to san francisco,flight,boston,,san francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,earliest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
844,i would like an early morning flight from chicago into seattle on june first on continental airline,flight,chicago,,seattle,,,,morning,,,,,,,,,,,,continental airline,,,,,,first,june,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
845,what would be cost of a round trip from pittsburgh to san francisco,airfare,pittsburgh,,san francisco,,,,,,,round trip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
846,show me the flights from dallas to baltimore,flight,dallas,,baltimore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
847,give me the flights from baltimore to pittsburgh,flight,baltimore,,pittsburgh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
848,please list the flights from charlotte to long beach arriving after lunch time,flight,charlotte,,long beach,,lunch time,,,,,,,,,,,,,,,after,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
849,what flights are available between philadelphia and denver on september sixteenth,flight,philadelphia,,denver,,,,,,,,,,,,,,,,,,,,,,sixteenth,september,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,what type of aircraft leaving after 2 pm from boston to oakland,aircraft,boston,2 pm,oakland,,,,,,,,,,,,,after,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851,i would like the cheapest flight from boston to san francisco,flight,boston,,san francisco,,,,,,cheapest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
852,are there any flights from boston to oakland that stop,flight,boston,,oakland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
853,i would like to find a flight from pittsburgh to boston on wednesday and i have to be in boston by one so i 'd like a flight out of here no later than 11 am,flight,pittsburgh,,boston,one,,wednesday,,,,,,,,,,no later than,,,,by,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
854,i need information on a flight from washington to fort worth,flight,washington,,fort worth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
855,can you tell me what flights you have from baltimore to dallas,flight,baltimore,,dallas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856,what are the ground transportation services in philadelphia,ground_service,,,,,,,,,,,,,philadelphia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
857,give me flights from baltimore to denver on united that offer first class,flight,baltimore,,denver,,,,,,,,,,,,,,first class,,united,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
858,does american airlines have a flight from pittsburgh to atlanta,flight,pittsburgh,,atlanta,,,,,,,,,,,,,,,,american airlines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
859,all flights and fares from atlanta to dallas round trip after 12 pm less than 1100 dollars,flight+airfare,atlanta,12 pm,dallas,,,,,,less,round trip,1100 dollars,,,,,after,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860,list flights from denver to baltimore,flight,denver,,baltimore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
861,i would like a list of the round trip flights between indianapolis and orlando on the twenty seventh or the twenty eighth of december,flight,indianapolis,,orlando,,,,,,,round trip,,,,,,,,,,,,,,,twenty eighth,december,,,,,,,,,,,,,,,,,,or,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
862,i need a return flight from denver to atlanta,flight,denver,,atlanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
863,i 'd like a flight from burbank to tacoma washington,flight,burbank,,tacoma,,,,,,,,,,,,,,,,,,,,,washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
864,what flights from atlanta to washington,flight,atlanta,,washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
865,please list all flights from atlanta to baltimore on wednesday and thursday,flight,atlanta,,baltimore,,,thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
866,what is the latest flight between washington and boston,flight,washington,,boston,,,,,,,,,,,,,,,,,,,,,,,,,,,latest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
867,explain the restriction ap 57,abbreviation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ap 57,,,,,,,,,,,,,,,,,,
868,the latest flight from baltimore to oakland please and i 'd like a meal with that,flight,baltimore,,oakland,,,,,,,,,,,,,,,,,,,,,,,,,,,latest,,,meal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
869,what are the flights on january first 1992 from boston to san francisco,flight,boston,,san francisco,,,,,,,,,,,,,,,,,,,,,,first,january,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992,,,,,,,,,,,,,,,,,,,,,,,,
870,on november twenty third what flights are available between boston and denver,flight,boston,,denver,,,,,,,,,,,,,,,,,,,,,,twenty third,november,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
871,list nonstop flights on sunday from new york to las vegas and list nonstop flights on sunday from memphis to las vegas,flight,memphis,,las vegas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nonstop,,sunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
872,show me the list of flights from dallas to baltimore on american and delta airlines,flight,dallas,,baltimore,,,,,,,,,,,,,,,,delta airlines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
873,what does us stand for,abbreviation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
874,could you show me all weekday flights from phoenix to denver,flight,phoenix,,denver,,,,,,,,,,,,,,,,,,,,,,,,,,,weekday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
875,show me all united airlines first class flights,flight,,,,,,,,,,,,,,,,,first class,,united airlines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
876,what is hp,abbreviation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
